bedrooms,bathrooms,price,host_listings_count,availability_30,review_scores_rating,review_scores_location,calculated_host_listings_count_private_rooms,room_type_Hotel room,room_type_Private room,room_type_Shared room,host_is_superhost_t
1.0,1.0,153.0,3,12,4.94,4.92,2,False,True,False,True
3.0,1.5,255.0,2,10,4.91,4.84,0,False,False,False,True
3.0,2.0,375.0,1,0,5.0,5.0,0,False,False,False,False
3.0,2.0,900.0,1,24,4.93,5.0,0,False,False,False,False
3.0,2.0,546.0,1,24,4.9,4.63,0,False,False,False,False
1.0,1.0,169.0,2,10,4.87,4.84,0,False,False,False,True
1.0,1.0,120.0,8,0,4.86,4.92,0,False,False,False,True
2.0,1.0,229.0,1,0,4.82,4.83,0,False,False,False,True
1.0,1.0,128.0,3,14,4.88,4.94,3,False,True,False,True
1.0,1.5,112.0,1,11,4.92,4.68,1,False,True,False,True
1.0,1.0,101.0,1,11,4.87,4.88,0,False,False,False,True
1.0,1.0,158.0,1,5,4.99,4.97,1,False,True,False,False
2.0,1.0,450.0,3,0,4.45,4.74,0,False,False,False,False
1.0,1.0,100.0,2,5,4.92,4.86,2,False,True,False,True
1.0,1.0,130.0,1,7,4.96,4.83,0,False,False,False,True
2.0,1.0,184.0,23,0,4.25,5.0,0,False,False,False,False
1.0,1.0,169.0,2,8,4.9,4.89,2,False,True,False,True
3.0,1.0,131.0,7,2,4.78,4.7,0,False,False,False,False
3.0,3.5,864.0,1,0,4.85,4.95,0,False,False,False,False
